#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
145,Miguel Gonzalez,ZAR,.508,.500,117.9,7.3,13.8,10.6,5.6,27.6,1.7,3.4,5.3,-0.4,1.1,108.9,112.5,-3.7,16.5,6.6
146,Guillem Vives,JOV,.453,.474,76.8,4.3,17.4,11.8,18.3,35.6,3.3,1.8,15.1,-3.7,0.9,77.5,105.0,-27.5,19.5,6.5
147,Aleix Font,LBC,.458,.435,137.0,6.5,4.8,5.7,11.7,12.5,0.5,0.0,22.5,-1.5,1.0,95.0,127.9,-32.9,10.4,6.2
148,Joaquin Rodriguez,ZAR,.389,.389,58.3,4.2,8.0,6.2,19.0,20.6,2.7,0.0,16.1,1.7,0.8,90.6,113.5,-22.9,12.3,5.7
149,Nate Sestina,VAL,.396,.396,56.9,3.8,8.1,5.7,3.7,11.1,3.4,1.4,14.3,-2.2,0.8,93.7,106.2,-12.5,7.3,5.5
150,Payton Willis,TEN,.414,.385,136.5,0.0,4.9,2.4,2.6,3.5,0.9,1.9,22.7,-0.5,0.9,88.1,119.7,-31.6,2.5,5.1
151,Xabier Lopez-Arostegui,VAL,.363,.320,103.6,4.6,14.5,9.0,9.9,9.4,0.6,0.0,15.2,1.2,0.8,95.2,111.4,-16.2,10.4,4.8
152,Maximo Fjellerup,SJG,.440,.424,119.4,4.7,19.2,11.7,9.4,25.4,2.1,0.8,17.1,-6.1,0.9,76.0,110.4,-34.4,12.6,4.6
153,Yves Pons,SJG,.375,.363,116.7,3.7,12.7,8.1,5.9,16.2,1.6,1.9,14.1,-2.8,0.8,74.9,112.7,-37.8,13.9,3.8
154,Dani Perez,MAN,.308,.276,106.2,2.6,10.6,6.7,39.8,24.2,1.1,0.0,17.1,6.4,0.7,83.4,102.4,-19.0,19.5,3.7
155,Stan Okoye,AND,.495,.500,101.9,1.2,8.1,5.0,2.7,18.9,1.4,0.0,17.2,-5.8,1.0,86.3,116.4,-30.2,3.1,3.7
